,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
1522,https://www.lottoland.com/en/german-lottery/results-winning-numbers/16-02-2019,German Lotto,16-02-2019,II,6 Numbers,14,109123.6,"[6, 9, 10, 11, 18, 22]",7,,,,,
1523,https://www.lottoland.com/en/german-lottery/results-winning-numbers/16-02-2019,German Lotto,16-02-2019,III,5 Numbers + SuperBall,214,3569.4,"[6, 9, 10, 11, 18, 22]",7,,,,,
1524,https://www.lottoland.com/en/german-lottery/results-winning-numbers/16-02-2019,German Lotto,16-02-2019,IV,5 Numbers,1547,1481.3,"[6, 9, 10, 11, 18, 22]",7,,,,,
1525,https://www.lottoland.com/en/german-lottery/results-winning-numbers/16-02-2019,German Lotto,16-02-2019,V,4 Numbers + SuperBall,8264,92.4,"[6, 9, 10, 11, 18, 22]",7,,,,,
1526,https://www.lottoland.com/en/german-lottery/results-winning-numbers/16-02-2019,German Lotto,16-02-2019,VI,4 Numbers,59962,25.4,"[6, 9, 10, 11, 18, 22]",7,,,,,
1527,https://www.lottoland.com/en/german-lottery/results-winning-numbers/16-02-2019,German Lotto,16-02-2019,VII,3 Numbers + SuperBall,125375,12.1,"[6, 9, 10, 11, 18, 22]",7,,,,,
1528,https://www.lottoland.com/en/german-lottery/results-winning-numbers/16-02-2019,German Lotto,16-02-2019,VIII,3 Numbers,919836,7.4,"[6, 9, 10, 11, 18, 22]",7,,,,,
1529,https://www.lottoland.com/en/german-lottery/results-winning-numbers/16-02-2019,German Lotto,16-02-2019,IX,2 Numbers + SuperBall,831249,5,"[6, 9, 10, 11, 18, 22]",7,,,,,
1530,https://www.lottoland.com/en/german-lottery/results-winning-numbers/13-02-2019,German Lotto,13-02-2019,I,6 Numbers + SuperBall,0,4242034.8,"[5, 11, 23, 31, 42, 43]",9,,,,,
1531,https://www.lottoland.com/en/german-lottery/results-winning-numbers/13-02-2019,German Lotto,13-02-2019,II,6 Numbers,3,827333.5,"[5, 11, 23, 31, 42, 43]",9,,,,,
